2025-12-04T09:38:02.000000000Z [inf]  Starting Container
2025-12-04T09:38:03.994622297Z [inf]  maxprocs: Updating GOMAXPROCS=2: determined from CPU quota
2025-12-04T09:38:03.994627785Z [inf]  GOMEMLIMIT is updated
2025-12-04T09:38:03.994631853Z [inf]  using config from file
2025-12-04T09:38:03.994636013Z [inf]  adapted config to JSON
2025-12-04T09:38:03.994641276Z [wrn]  admin endpoint disabled
2025-12-04T09:38:03.994645934Z [inf]  automatic HTTPS is completely disabled for server
2025-12-04T09:38:03.994650136Z [inf]  started background certificate maintenance
2025-12-04T09:38:03.994655806Z [wrn]  HTTP/2 skipped because it requires TLS
2025-12-04T09:38:03.994667594Z [wrn]  HTTP/3 skipped because it requires TLS
2025-12-04T09:38:03.994677549Z [inf]  server running
2025-12-04T09:38:03.994683870Z [inf]  serving initial configuration
2025-12-04T09:38:03.994690542Z [inf]  cleaning storage unit
2025-12-04T09:38:03.994696201Z [inf]  finished cleaning storage units
